Date,CPI (Inflation Level),Interbank Interest Rate,10-Year Bond Yield,USD/INR Exchange Rate,M3 Money Supply Growth,CPI (Inflation Level) (YoY % change),Interbank Interest Rate (YoY % change),10-Year Bond Yield (YoY % change),USD/INR Exchange Rate (YoY % change),M3 Money Supply Growth (YoY % change),Retail Demand Risk Score
2011-12-01,75.35862,6.0,8.56,52.3936360081818,15.5521387748,,,,,,
2012-01-01,75.74116,6.0,8.235,51.1063631236364,15.2984766992,,,,,,
2012-02-01,76.12369,7.75,8.1925,49.1735710871429,14.4307826812,,,,,,
2012-03-01,76.88875,9.5,8.374,50.3475001945455,13.8948714616,,,,,,
2012-04-01,78.41887,9.25,8.5875,51.6795236495238,13.5202524326,,,,,,
2012-05-01,78.8014,9.0,8.565,54.33804371,13.6073663178,,,,,,
2012-06-01,79.56647,9.0,8.204,55.9271429157143,14.8133858666,,,,,,
2012-07-01,81.09659,9.0,8.09666666666667,55.3968181604545,14.8262785222,,,,,,
2012-08-01,81.86165,9.0,8.196,55.4904343982609,14.0291411036,,,,,,
2012-09-01,82.24418,9.0,8.175,54.4487499245,13.8896551767,,,,,,
2012-10-01,83.00925,9.0,8.1475,53.0482610626087,13.5332129283,,,,,,
2012-11-01,83.39178000000001,9.0,8.20254,54.8001358709091,13.4248818017,,,,,,
2012-12-01,83.77431,9.0,8.1375,54.6352379204762,12.2711624134,11.167521379770484,50.0,-4.935747663551416,4.278385855763767,-21.096624772384033,58.85990487690212
2013-01-01,84.53936999999999,9.0,7.8725,54.2091303278261,12.00393547,11.616154281238899,50.0,-4.401942926533087,6.071195472633217,-21.535093290512254,61.27808430869064
2013-02-01,85.30443000000001,8.75,7.8375,53.84157505,12.8261365747,12.0602929258947,12.903225806451623,-4.333231614281363,9.49291226904123,-11.119605512391828,52.65002535365736
2013-03-01,85.68696,8.65,7.91,54.4238097785714,13.2770901907,11.442779340280595,-8.947368421052627,-5.5409601146405585,8.096349507472688,-4.446110009778115,42.85717150006426
2013-04-01,86.45203000000001,8.5,7.83,54.29727277,13.3809808995,10.243911956395202,-8.108108108108103,-8.820960698689962,5.06535071458678,-1.0300956568250696,36.76983942482148
2013-05-01,87.21709,8.25,7.502,55.0703811647619,13.3184749176,10.679619905230098,-8.333333333333337,-12.410974897840044,1.3477435048459885,-2.1230515402682837,34.13398715253332
2013-06-01,88.36468,8.25,7.40215,58.402650261,13.1033364037,11.057685479825885,-8.333333333333337,-9.773890784982942,4.426307542683605,-11.543947334523141,39.11563911651318
2013-07-01,89.89480999999999,9.25,7.724375,59.7834344952174,12.5383329271,10.849062827425904,2.777777777777768,-4.598085631947335,7.918534819197109,-15.431691720037255,46.43963415826662
2013-08-01,90.65987,10.25,8.328,62.8476822595455,12.2871457952,10.747670001765176,13.888888888888884,1.6105417276720324,13.25858761256189,-12.416977600667146,54.70838492992306
2013-09-01,91.0424,9.875,8.6025,63.7901426033333,12.5262248528,10.69768097876349,9.722222222222232,5.229357798165113,17.156303297663044,-9.816156747988703,56.91690252531994
2013-10-01,92.18999,9.125,8.5725,61.581391376087,13.361787955,11.059899950909081,1.388888888888884,5.216324025774766,16.085598552245294,-1.2666982645453184,53.63127977139581
2013-11-01,92.95506,8.75,8.86304,62.5530955,14.2552230876,11.46789287865062,-2.777777777777779,8.052383773806637,14.147701471679364,6.185091967028367,52.29546158958293
2013-12-01,91.42493,8.75,8.87536825,61.8445710685714,14.7744039316,9.132417802068439,-2.777777777777779,9.067505376344087,13.195390781657569,20.39938380626827,44.95555712216489
2014-01-01,90.65987,8.8,8.76454,62.0992391826087,14.6303820037,7.239822108918026,-2.2222222222222143,11.331089234677695,14.554944539909954,21.879878813610443,42.30771239988351
2014-02-01,91.0424,9.0,8.8125,62.2336252215,14.527003708,6.72646191997297,2.857142857142847,12.440191387559807,15.586561432697167,13.260946687991936,44.719485370231496
2014-03-01,91.42493,9.0,8.8375,60.9477955052381,14.0560347809,6.696433156223547,4.046242774566466,11.72566371681416,11.98737419010203,5.866832107125508,43.36186194986187
2014-04-01,92.57253,9.0,8.9875,60.3459091195455,13.7798380637,7.0796486791576685,5.882352941176472,14.78288633461049,11.139852963089258,2.9807767247833183,45.73597616246198
2014-05-01,93.33759,9.0,8.75292,59.3684088972727,13.6088942693,7.017546675771924,9.090909090909083,16.674486803519063,7.804608650976608,2.180575129636053,45.20632178224817
2014-06-01,94.10265,9.0,8.6336,59.7480476014286,12.4657597584,6.493510755654852,9.090909090909083,16.63638267260188,2.3036580265040296,-4.86575804556133,41.38701309141435
2014-07-01,96.39783,9.0,8.6559,60.0732523030435,12.1139948436,7.23403275450496,-2.7027027027026973,12.059551743668596,0.48477945483258456,-3.384326177707786,36.67201804246981
2014-08-01,96.78036,9.0,8.56064,60.8698189152381,12.6800492538,6.751046521465343,-12.195121951219512,2.793467819404416,-3.147074439657638,3.197678819384464,26.258945355645615
2014-09-01,96.78036,9.0,8.49115,60.8732951768182,12.6172918824,6.302513993479963,-8.860759493670889,-1.2943911653589102,-4.572567653050963,0.7270109763329202,24.044258005493713
2014-10-01,96.78036,9.0,8.40188,61.3935825504348,12.3709763715,4.9792499163954895,-1.3698630136986356,-1.9903178769320462,-0.30497658701021946,-7.4152619906622474,26.595334646779207
2014-11-01,96.78036,9.0,8.18685,61.7053596505,11.4935164749,4.1152143842411615,2.857142857142847,-7.629323572950142,-1.3552260567184837,-19.373296340078237,24.517427270724102
2014-12-01,96.78036,9.0,7.955925,62.7804829156522,10.7037482039,5.85773486509642,2.857142857142847,-10.3594940976111,1.5133290293873891,-27.552080926889666,30.314456316196907
2015-01-01,97.1629,8.85,7.79366,62.2106819159091,10.7670360262,7.172997269905634,0.5681818181818121,-11.077364014540414,0.17945909606507104,-26.40632333812587,31.418991655878916
2015-02-01,96.78036,8.75,7.7342,62.0572448725,10.9437820058,6.302513993479963,-2.777777777777779,-12.236028368794315,-0.28341647842662354,-24.665937823274085,27.528297088470417
2015-03-01,97.1629,8.5,7.8208,62.4811087518182,11.0159054284,6.27615465497211,-5.555555555555558,-11.5043847241867,2.515781307378573,-21.628641362150514,28.348054630280746
2015-04-01,97.92796,8.5,7.83696666666667,62.7282863968182,10.8770151892,5.785117896205283,-5.555555555555558,-12.801483541956394,3.9478687321674144,-21.065725599104525,27.5711884623019
2015-05-01,98.69302,8.5,7.85218,63.7705330619048,10.8033852602,5.737699034226185,-5.555555555555558,-10.290737262536387,7.414926972776459,-20.615260531701573,30.547181220880113
2015-06-01,99.84061,8.25,7.805225,63.8522683918182,10.6820058123,6.09755410713726,-8.333333333333337,-9.594780856189766,6.8692132298084685,-14.309227681834846,29.71347138951494
2015-07-01,100.6057,8.25,7.81692,63.6525747873913,10.8507384562,4.365108633669457,-8.333333333333337,-9.69257962776836,5.9582631988887025,-10.428074336414273,24.648618970864163
2015-08-01,100.9882,8.25,7.785975,65.0842759266667,11.1205610802,4.347824289969582,-8.333333333333337,-9.049148194527511,6.923721947156247,-12.298754858011673,25.69561077589959
2015-09-01,101.7533,8.25,7.73205,66.2337993272727,10.8679604453,5.138377249268333,-8.333333333333337,-8.939896244913815,8.806002919480349,-13.864555511632116,28.93401432332795
2015-10-01,102.9009,7.75,7.5969,65.08420528,10.5740171856,6.324155024841804,-13.888888888888884,-9.580950930029953,6.011414509868951,-14.525605190224077,28.143148693539075
2015-11-01,103.2834,7.75,7.7452,66.1913670128571,10.4832625639,6.719379841116524,-13.888888888888884,-5.394626748993813,7.270044916302099,-8.789772157252585,30.70789712470379
2015-12-01,102.9009,7.75,7.791575,66.5603823456522,10.6095510965,6.324155024841804,-13.888888888888884,-2.06575602459802,6.020819296784374,-0.8800385211385819,29.280843682605177
2016-01-01,102.9009,7.75,7.66876,67.3198808938095,10.8280900518,5.905546252736382,-12.429378531073443,-1.6025846649712738,8.21273585267328,0.5670458002688505,30.118595488760395
2016-02-01,102.1358,7.75,7.720025,68.2354144142857,10.9369431359,5.533602065543053,-11.428571428571432,-0.1832768741434232,9.955597536563365,-0.06249091855424771,31.2674887799177
2016-03-01,102.5183,7.75,7.584775,66.9515224952174,10.5673577249,5.511774555926174,-8.823529411764708,-3.01791376841245,7.1548246065161525,-4.071818757118251,29.616068436479672
2016-04-01,103.6659,7.15,7.43606,66.4826198771429,10.464207478,5.859348035024925,-15.88235294117647,-5.115584686251939,5.98507259799006,-3.7952297024452464,26.841332294711187
2016-05-01,105.196,7.0,7.2793,66.9300544040909,10.3441616961,6.58909819559681,-17.647058823529417,-7.295808297823026,4.954516122860397,-4.250737644169678,26.594298224493073
2016-06-01,105.9611,7.0,7.502625,67.2953366368182,10.0938191701,6.130261023044636,-15.151515151515149,-3.876890160117097,5.392241077282045,-5.506331418793287,27.973970175560602
2016-07-01,107.1087,7.0,7.35092,67.2060089119048,10.1787793812,6.463848469818312,-15.151515151515149,-5.961427262911723,5.582545775064851,-6.19274971664302,28.158637555260864
2016-08-01,106.3436,7.0,7.14185,66.9215127686956,10.0516875473,5.302995795548382,-15.151515151515149,-8.272888109710086,2.822858233990333,-9.611687082975639,23.307857548022604
2016-09-01,105.9611,7.0,6.86438,66.7670409468182,11.8207318661,4.135295857726495,-15.151515151515149,-11.22173291688492,0.8050898860725964,8.76679139195835,15.956059339844245
2016-10-01,106.3436,6.75,6.784525,66.7238715028571,11.9613447767,3.3456461508111213,-12.903225806451612,-10.693506561887078,2.5192997529938976,13.120156386631399,15.528222852577926
2016-11-01,105.9611,6.75,6.613,67.5956819713636,9.2222547303,2.592575379973927,-12.903225806451612,-14.618086040386292,2.1215983622663748,-12.028772778642283,15.205396168375511
2016-12-01,105.196,6.75,6.52812,67.8654046490909,7.1838957276,2.230398373580811,-12.903225806451612,-16.215656013065395,1.9606592652392507,-32.28841011030236,16.195463948368104
2017-01-01,104.8135,6.75,6.7918,68.0961133786364,6.1465946453,1.858681508130644,-12.903225806451612,-11.435486310694287,1.1530508885648993,-43.23472915448994,17.997107346958884
2017-02-01,104.8135,6.75,6.9794,67.033124924,6.0190908295,2.6217056115485526,-12.903225806451612,-9.59355701568324,-1.7619728708410776,-44.96551042911965,18.808880844266778
2017-03-01,105.196,6.75,7.11756,65.8634693304348,8.0717853152,2.6119239199245525,-12.903225806451612,-6.159905864050019,-1.625135806075706,-23.615860034904014,17.507602968705434
2017-04-01,105.9611,6.5,7.16485,64.5236202255,8.4161395258,2.2140356665017125,-9.090909090909093,-3.6472271606200035,-2.9466342560853453,-19.572126761686135,17.285878849443797
2017-05-01,106.3436,6.5,7.1144,64.4467262604348,6.6451008632,1.0909160044108024,-7.14285714285714,-2.2653277100820213,-3.7103333708097375,-35.75988989320069,17.320362429154798
2017-06-01,107.1087,6.5,6.58302,64.4503374968182,6.7916185672,1.0830389642991545,-7.14285714285714,-12.257110011495975,-4.227631931398168,-32.71507590191241,12.831279553049981
2017-07-01,109.0214,6.5,6.54905,64.4564285714286,6.8361075539,1.785755965668523,-7.14285714285714,-10.90843050937842,-4.091271576743106,-32.839613691537984,15.0506994582401
2017-08-01,109.0214,6.25,6.6025,63.9747434782609,6.6833776533,2.518064086602312,-10.71428571428571,-7.551964827040614,-4.403321396244864,-33.50989451422779,16.86369979581582
2017-09-01,109.0214,6.25,6.72384,64.4622238095238,6.1014877956,2.8881353628831707,-10.71428571428571,-2.047380826819023,-3.4520282831318583,-48.38316387923401,22.2397927242886
2017-10-01,109.7864,6.25,6.94395,65.0689681818182,5.7549014683,3.2374303672247473,-7.4074074074074066,2.3498328917647138,-2.480226767069449,-51.887504492720495,26.68764520732455
2017-11-01,110.169,6.25,7.16575,64.8698136363636,7.1970540549,3.971174327182325,-7.4074074074074066,8.358536216543166,-4.032607195463744,-21.959929915470035,25.921718569431377
2017-12-01,109.4039,6.25,7.35076,64.2520952380952,9.247904044,4.000057036389215,-7.4074074074074066,12.601484041347266,-5.324228787375418,28.731045029930357,20.455149695777408
2018-01-01,110.169,6.25,7.219725,63.6434739130435,10.2393222502,5.109551727592332,-7.4074074074074066,6.300612503312819,-6.538757125292582,66.58528569196456,15.138888059088659
2018-02-01,109.7864,6.25,7.571275,64.406725,10.1449290921,4.744522413620378,-7.4074074074074066,8.480313493996627,-3.918062789072929,68.54587145252849,16.53884597425578
2018-03-01,109.7864,6.25,7.60806,65.0724363636364,9.5144362447,4.363664017643254,-7.4074074074074066,6.89140660563452,-1.2010192825249066,17.87276139249321,23.099281790825664
2018-04-01,110.169,6.25,7.547875,65.695180952381,9.6879947212,3.971174327182325,-3.8461538461538436,5.345890004675602,1.8157082984286532,15.112097316127882,24.883465844676813
2018-05-01,110.5515,6.25,7.846075,67.5268173913043,10.291380669,3.956890682655101,-3.8461538461538436,10.284423141796918,4.779282532401408,54.87169993149068,23.635315083388615
2018-06-01,111.3165,6.45,7.93574,67.8044571428571,10.0539037254,3.928532416134267,-0.7692307692307665,20.548623580059,5.204192524522466,48.033986684045374,29.43218109918842
2018-07-01,115.1419,6.5,7.800625,68.7291636363636,9.8141367536,5.614035409561802,0.0,19.110787060718735,6.628873426023096,43.56322916541935,34.42818268373496
2018-08-01,115.1419,6.75,7.82458,69.6491434782609,10.3360368439,5.614035409561802,8.000000000000007,18.509352517985622,8.869750297518909,54.652892296105016,36.51192925189438
2018-09-01,115.1419,6.75,8.019075,72.213055,10.0736036736,5.614035409561802,8.000000000000007,19.263322744146215,12.023834631238817,65.10077559877172,37.49136867184419
2018-10-01,115.5244,6.75,7.92485,73.6034130434783,9.6622904869,5.22651257350637,8.000000000000007,14.125965768762727,13.115998455381717,67.89671448109509,35.01148617262683
2018-11-01,115.5244,6.75,7.78462,71.8513272727273,10.2151899558,4.8610770724977215,8.000000000000007,8.636500017444092,10.762345758382331,41.93571255512734,33.8498684886724
2018-12-01,115.1419,6.75,7.37335,70.7201190476191,10.3207682527,5.244785606363234,8.000000000000007,0.3073151619696457,10.066634847557454,11.60116069106567,34.92849687882908
